asin,categories,description,reviewerID,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
B000FA64QO,"[['Books', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars']]",0,AQZH7YTWQPOBE,Enjolras,"[2, 2]","Most of the New Jedi Order books focus on the Solo kids, to the extent that some are viewed as ""Jacen books"" or ""Jania books."" The novella Ylesia is if anything a book starring Thrackan Sal-Solo. Thrackan is forcibly recruited by the Yuuzhan Vong to become president of the Peace Brigade Republic. However, the New Republic forces also choose to attack Ylesia. There's nothing new or terribly exciting in the novel, but it's a nice side story. It's written in a similar style asDestiny's Way (Star Wars: The New Jedi Order, Book 14), which isn't surprising as they're both by the same author. This short story actually takes place during the novel, so I'd recommend reading the novel first so Ylesia doesn't spoil any surprises.",4.0,A Thrackan story,1305590400,"05 17, 2011"
B000FA64QO,"[['Books', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars']]",0,A1ZT7WV0ZUA0OJ,Mike,"[0, 0]",I was hoping to find this one in book form. The story looks like it will be good when I get that far in the series.,5.0,my e- collection,1390780800,"01 27, 2014"
B000FA64QO,"[['Books', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars']]",0,A22CW0ZHY3NJH8,Noname,"[0, 0]","The events of ""Ylesia"" take place during ""Destiny's Way.""  If you've read ""Destiny's Way,"" you will see it mentioned in passing.Jaina and Jacen go to Ylesia to fight the Peace Brigade to show them that it's not good to align themselves with the enemy.  From there, it is page after page of battle scenes.  It is endless.  One huge chapter.  It's like the chapter that was cut out for good reason.""Ylesia"" doesn't advance ""Destiny's Way"" or ""The New Jedi Order"" in any way that I could tell.  We don't learn anything new.  There is no insight.  If I had skipped it, I wouldn't have missed anything.If you don't mind reading in PDF, ""Ylesia"" is available free from Del Rey.  If you Google, you'll see it linked to the Wayback machine and it's still there.",3.0,One huge chapter,1344297600,"08 7, 2012"
B000FA64PA,"[['Books', 'Comics & Graphic Novels'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A1UG4Q4D3OAH3A,dsa,"[0, 0]",Darth Maul working under cloak of darkness committing sabotage now that is a story worth reading many times over.  Great story.,5.0,Darth Maul,1381449600,"10 11, 2013"
B000FA64PA,"[['Books', 'Comics & Graphic Novels'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,AQZH7YTWQPOBE,Enjolras,"[0, 0]","This is a short story focused on Darth Maul's role in helping the Trade Federation gain a mining colony. It's not bad, but it's also nothing exceptional. It's fairly short so we don't really get to see any characters develop. The few events that do happen seem to go by quickly, including what should have been major battles. The story is included in the novelShadow Hunter (Star Wars: Darth Maul), which is worth reading, so don't bother to buy this one separately.",4.0,"Not bad, not exceptional",1297555200,"02 13, 2011"
B000FA64PA,"[['Books', 'Comics & Graphic Novels'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A1ZT7WV0ZUA0OJ,Mike,"[0, 0]",I think I have this one in both book and audio. It is a good story either way. good ol' Maul.,5.0,Audio and book,1390780800,"01 27, 2014"
B000FA64PA,"[['Books', 'Comics & Graphic Novels'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A2ZFR72PT054YS,monkeyluis,"[0, 0]",Title has nothing to do with the story.  I did enjoy it though.  Good short story about Darth Maul setting up two corporations against each other.  All in the end to help Darth Sidious' rise to power.  Won't take you long to read & it's cheap.  Go for it.,4.0,Darth Maul...the brother I never had.,1316217600,"09 17, 2011"
B000FA64PA,"[['Books', 'Comics & Graphic Novels'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A2QK1U70OJ74P,Sharon Deem,"[0, 0]",Well written. Interesting to see Sideous (through Maul) maneuvering events to fit his plan. We see human nature at work. But no good guys to root for. Even Rurit is a helpless pawn.,3.0,Not bad; it is well written,1388448000,"12 31, 2013"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A3SZMGJMV0G16C,"Andrew Pruette ""Rancors Love to Read""","[0, 0]","Troy Denning's novella Recovery was originally published in e-book form and is a short tale set after the events of Kathy Tyers' Balance Point. Han and Leia Solo's relationship was fractured early in the Yuuzhan Vong invasion by the death of someone in the family, and the books prior to Recovery, notably the Agents of Chaos duology, spent time exploring Han's journey to reclaim himself from his demons and Leia's efforts to be patient with the process.  Ms. Tyers reunited the couple in Balance Point as the battle for Duros commenced, but it is in this short story that they truly begin the emotional healing process.We start on Corellia with a battle in a hospital and an appearance from Han's rogue cousin Thracken Sal-Solo. It's good to touch base on what Sal-Solo has been up to since he fired the Centerpoint weapon earlier in the New Jedi Order. Mr. Denning uses this story to introduce a group of his preferred characters, a tight-knit group of saurian Barabel Jedi. Here they are accompanied by an entertainingly non-conventional, salt-addicted Arcona Jedi as well as a human Jedi, Master Eelysa, known for her lengthy and complicated solo missions. The Barabel come into full play in Mr. Denning's own Star by Star and are memorable characters: it's welcome, if certainly not essential, to have their background more fully fleshed out here.In fact, the Jedi provide the most entertaining aspect of Recovery. The Solo reactions to the explicitly non-human worldview of the Barabel are genuinely funny, especially as they struggle to comprehend Barabel humor. Mr. Denning handles the evolution of their relationship and concurrent healing capably enough, although no aspect of this jumps out at me as especially memorable. The final two chapters take the story on a race to Coruscant to stop a potentially disastrous Senate vote. This portion feels rushed, as if it was constrained by the limitations of being a short e-book, but it brings events to a satisfying close nevertheless.Certainly not an essential read, Recovery does flesh out aspects of the New Jedi Order and it worth a look to anyone reading that part of the saga, especially if you are a fan of Mr. Denning's later novels and want to get a bit more insight into the origin of a couple of his preferred Jedi characters.",3.0,Han and Leia reunited and Barabel Jedi introduced,1331769600,"03 15, 2012"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A3H8PE1UFK04JZ,Caleb Watts,"[0, 0]","I am not for sure on how much of a difference the short story has on the overall series (I haven't read on yet), but I would recommend that anyone buy it to help them understand the whole series better.P.S.- The series is one of the best of all the Star Wars series.",5.0,Possibly Important,1368316800,"05 12, 2013"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A2EN84QHDRZLP2,Carl craft,"[0, 0]",I really enjoyed the book. Had the normal back against the wall moments. It even had laugh out loud moments.,5.0,Another read,1388620800,"01 2, 2014"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A1UG4Q4D3OAH3A,dsa,"[0, 0]",Great read enjoyed every minute of it .  I think it answers some questions that are out there about this series.,5.0,Recovery,1383004800,"10 29, 2013"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A38Z3Q6DTDIH9J,"Jimmy J. Shaw ""oldbent1""","[4, 4]","Another well written eBook by Troy Denning, but why is it put where it is? Why not a part of Balance Point? It is well written and belongs in the new Jedi Order. I just don't think it should stand alone. It is fun and fast to read on my Kindle, but not even in paperback????",3.0,Star Wars: The New Jedi Order: Recovery,1239840000,"04 16, 2009"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A1ZT7WV0ZUA0OJ,Mike,"[0, 1]",This one promises to be another good book. I have been reading through the series and have not gotten this far yet.,5.0,my collection,1390780800,"01 27, 2014"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A22CW0ZHY3NJH8,Noname,"[0, 0]","I have a version of ""Star by Star"" that does not include the novella ""Recovery,"" so I downloaded this book onto my Fire.  ""Recovery"" tells of Leia's recovery after she was nearly killed in ""Balance Point.""  If it was meant to tell the story of the healing of Han and Leia's relationship, it surely failed.  There was far too much action to attempt much more than a few brief moments or reconciliation.  They have a deeper understanding of each other but not much time to work on it.Is it a necessary read?  Not really.  I could have skipped it (I actually did) and not miss much.  It felt like the extraneous part of a book that had been edited out, like in the DVD's, where it's billed as the extras.  People pay to see those extras.  I did.  It was worth it, but probably not to everyone.",4.0,"Not a necessary read, but I liked it",1342742400,"07 20, 2012"
B000FA64PK,"[['Books', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Books', 'Teen & Young Adult'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Action & Adventure'], ['Kindle Store', 'Kindle eBooks', 'Comics & Graphic Novels', 'Graphic Novels', 'Science Fiction'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Action & Adventure', 'Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars'], ['Kindle Store', 'Kindle eBooks', 'Teen & Young Adult', 'Literature & Fiction', 'Comics & Graphic Novels']]",0,A2QK1U70OJ74P,Sharon Deem,"[0, 0]","Excellent! Very well written story, very exciting with LOTS of action. The bad guys trying to kill Leia and Han. Viki Shesh is introduced.",5.0,Fits right into New Jedi Order timeline,1388448000,"12 31, 2013"
B000FBFMVG,"[['Books', 'Literature & Fiction', 'Genre Fiction', 'Action & Adventure'], ['Books', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Books', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle Short Reads', 'Two hours or more (65-100 pages)', 'Literature & Fiction'], ['Kindle Store', 'Kindle Short Reads', 'Two hours or more (65-100 pages)', 'Science Fiction & Fantasy'], ['Kindle Store', 'Kindle eBooks', 'Literature & Fiction', 'Genre Fiction', 'Movie Tie-Ins'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Adventure'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'Space Opera'], ['Kindle Store', 'Kindle eBooks', 'Science Fiction & Fantasy', 'Science Fiction', 'TV, Movie, Video Game Adaptations', 'Star Wars']]",0,A3AZH0OO0GUAI3,Amazon Customer,"[0, 0]","Really shouldn't have Han Solo on the cover as he doesn't come into the story.This story is all about Chewbacca and his family.I won't give anything away, but it is a nice, if short, read.",5.0,An interesting short story.,1392422400,"02 15, 2014"
